GOVIATS, fourbiſſez ma rondelle:	GOUJATS, fourbissez ma rondelle:
Qu'on me face qu'elle eſtincelle,	Qu'on me face quelle étincelle,
Eſclatant plus grande clarté	Éclatant plus grande clarté
Que n'eſt au plus beau iour d'eſté	Que n'est au plus beau jour d'été
La clarté du ſoleil, ie dy	La clarté du soleil, je dis
Lors que tout bruſle en plein midy:	Lorsque tout brûle en plein midi:
A fin que s'il fauſt que lon aille	Afin que s'il faut que l'on aille
 Donner l'assaut ou la bataille,	Donner l'aſſaut ou la bataille,
Venant aux mains, elle ébarlue	Venant aux mains, elle ébarlue
L'ennemi frappé dans la vue.	L'ennemi frappé dans la vue.
O toy rapiere que ie porte,	Ô toi rapière que je porte,
Il fauſt que ie te reconforte:	Il faut que je te réconforte:
Ne te plain, ne te deſeſpere	Ne te plains, ne te désespère
D'eſtre ſi long temps ſans rien faire:	D'être si longtemps sans rien faire:
Si d'arracher tu as enuie	Si d'arracher tu as envie
A plus d'vn ennemi de la vie,	À plus d'un ennemi de la vie,
Fracaſſant bras, iambes & teſte,	Fracassant bras, jambes et tête,
Force carnage ie t'appreſte,	Force carnage je t'apprête,
Ou ne fauſdra fraper en vain.	Ou ne faudra frapper en vain.
Mais ou eſt icy Gallepain.	Mais où est ici Gallepain.
Le voyci pres d'vn perſonnage	Le voici près d'un personnage
Glorieux & de fier courage,	Glorieux et de fier courage,
Hazardeux en toute entrepriſe,	Hazardeux en toute entreprise,
Que la Fortune fauoriſe,	Que la Fortune favorise,
Homme en tout digne d'eſtre Roy,	Homme en tout digne d'être Roi,
Si braue guerrier que (ie croy)	Si brave guerrier que (je crois)
Mars meſme le Dieu des combas	Mars même le Dieu des combats
Auecque vous n'oſeroit pas	Avecque vous n'oserez pas
S'aparager, non ſans raiſon,	S'aparager, non sans raison,
N'y ayant point comparaiſon	N'y ayant point comparaison
De ſa proüeſſe à vos faidarmes	De sa prouesse à vos faits d'armes
Tant vous eſtes adroit aux armes.	Tant vous êtes adroits aux armes.
Mais, aux aproches d'Edinton,	Mais, aux approches d'Edinton,
Qui fit la belle faction	Qui fit la belle faction
A la ſaillie, ou commandoit	À la saillie, ou commandait
Ce braue Millor, qui eſtoit	Ce brave Millor, qui était
Parent du Duc Notomberlant?	Parent du Duc Northumberland?
